Galaxy_name,x,y,flux
587722981748768939.fits,128,128,152.222222222
587722982281576630.fits,127,128,126.666666667
587722982282690733.fits,129,129,175.333333333
587722982284984491.fits,128,128,170.888888889
587722982290686147.fits,129,128,186.666666667
587722982815694957.fits,147,93,78.5555555556
,130,110,162.111111111
,129,129,150.888888889
587722982822904047.fits,128,128,144.444444444
587722982827884615.fits,128,128,177.333333333
587722982834766290.fits,129,129,192.444444444
587722983360036986.fits,128,128,192.0
587722983362199802.fits,129,129,142.666666667
587722983895204043.fits,127,128,128.333333333
587722983896318174.fits,128,129,161.555555556
587722984426504308.fits,128,129,136.111111111
587722984429387944.fits,160,100,173.555555556
,108,128,92.7777777778
,127,129,179.444444444
587722984429387955.fits,126,129,143.777777778
587722984436334703.fits,129,128,196.222222222
,146,131,178.666666667
587722984438366382.fits,129,129,144.333333333
587724197745983628.fits,156,123,109.333333333
,129,128,182.555555556
587724197747556431.fits,128,128,158.333333333
587724198283837539.fits,128,113,133.222222222
,129,129,174.333333333
587724198819528759.fits,147,92,244.444444444
,128,129,110.111111111
587724199885013129.fits,107,73,72.1111111111
,129,129,148.777777778
,138,160,91.4444444444
587724199894057120.fits,129,128,183.0
587724232100937914.fits,128,129,166.444444444
587724232102641838.fits,108,116,70.0
,129,129,131.333333333
587724232103952576.fits,127,129,194.444444444
587724232105263263.fits,90,94,62.7777777778
,129,128,133.111111111
587724232110375026.fits,130,128,142.222222222
587724232110571633.fits,129,129,170.555555556
